artifact_id,path,relative_path,size_bytes,md5,evidence_type,status,note
raw_obj,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.obj,raw_zenodo/TUM_Downtown_Photogrammetry_20241217_Mesh.obj,91981534,2D5FD9B70DF14467836F5A2D2507ECB3,preexisting_artifact,available,Downloaded and checksum verified from Zenodo
raw_mtl,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.mtl,raw_zenodo/TUM_Downtown_Photogrammetry_20241217_Mesh.mtl,80,FFB31D2B83F3C067D6AFDEB8135A9B02,preexisting_artifact,available,Downloaded and checksum verified from Zenodo
raw_jpg,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh.jpg,raw_zenodo/TUM_Downtown_Photogrammetry_20241217_Mesh.jpg,13406613,739CD7F71CABFD6D92006FCAACCEBBD3,preexisting_artifact,available,Downloaded and checksum verified from Zenodo
raw_offset,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\TUM_Downtown_Photogrammetry_20241217_Mesh_offset.xyz,raw_zenodo/TUM_Downtown_Photogrammetry_20241217_Mesh_offset.xyz,32,D6CE1E32F86D6D86EE47A0103DF7B4A1,preexisting_artifact,available,Downloaded and checksum verified from Zenodo
rhino_3dm,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_rhino_layered_geometry.3dm,converted/TUM_Downtown_Photogrammetry_20241217_rhino_layered_geometry.3dm,44509170,D7854EED3CF0CF7877F67E74FE844B2A,newly_run,available,Generated locally from the verified OBJ source
stl_local,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_visual_local_fullres.stl,converted/TUM_Downtown_Photogrammetry_20241217_visual_local_fullres.stl,50000034,22077974F63C4D9A28DB2386D1B8E722,newly_run,available,Generated locally from the verified OBJ source
stl_fluidx3d_z0,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\converted\TUM_Downtown_Photogrammetry_20241217_fluidx3d_z0_fullres.stl,converted/TUM_Downtown_Photogrammetry_20241217_fluidx3d_z0_fullres.stl,50000034,23E3B342C34DFD5F7CDEEAC23CCD9A86,newly_run,available,Generated locally from the verified OBJ source
zenodo_record,F:\0_PhD second year\第5篇：城市风环境LBM二次开发\实验3：3DGS模型构建\TUM2TWIN_TUM_Downtown_Photogrammetry_Mesh_20241217\raw_zenodo\zenodo_record_15282970.json,raw_zenodo/zenodo_record_15282970.json,9344,73676238E8903DE88CB7AD7A7180F4D4,preexisting_artifact,available,Downloaded and checksum verified from Zenodo
